phylum	class	order	family	genus	species
Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum odoratum
Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium
Basidiomycota	Agaricomycetes	Boletales	Gomphidiaceae	Gomphidius	Gomphidius glutinosus
Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Gomphus	Gomphus clavatus
Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Graphis	Graphis scripta
Basidiomycota	Agaricomycetes	Polyporales	Grifolaceae	Grifola	Grifola frondosa
Basidiomycota	Agaricomycetes	Auriculariales		Guepinia	Guepinia helvelloides
Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Guepiniopsis	Guepiniopsis alpina
Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Gyalolechia	Gyalolechia flavovirescens
Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus junonius
Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus penetrans
Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus ventricosus
Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus androsaceus
Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus brassicolens
Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus dryophilus
Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus fusipes
Basidiomycota	Pucciniomycetes	Pucciniales	Gymnosporangiaceae	Gymnosporangium	Gymnosporangium clavariiforme
Basidiomycota	Pucciniomycetes	Pucciniales	Gymnosporangiaceae	Gymnosporangium	Gymnosporangium juniperi-virginianae
Basidiomycota	Pucciniomycetes	Pucciniales	Gymnosporangiaceae	Gymnosporangium	Gymnosporangium sabinae
